group,atom,ori,fsr
Nonmetal,N,-0.0087247654,-0.2107731666
Nonmetal,N,-0.0087247654,-0.2107731666
Nonmetal,N,-0.2094512421,-0.2203142868
Nonmetal,N,-0.2003171196,-0.2107731666
Nonmetal,N,-0.2003171196,-0.2107731666
Nonmetal,N,-0.1912049833,-0.2107731666
Nonmetal,N,-0.2094512421,-0.2203142868
Nonmetal,N,-0.2003171196,-0.2107731666
Nonmetal,N,-0.2003171196,-0.2107731666
Nonmetal,N,-0.1912049833,-0.2107731666
Nonmetal,N,-0.2094512421,-0.2203142868
Nonmetal,N,-0.2003171196,-0.2107731666
Nonmetal,N,-0.2003171196,-0.2107731666
Nonmetal,N,-0.1912049833,-0.2107731666
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Transition Metal,Cu,0.781331415,0.7166710743
Nonmetal,H,0.9615562061,0.1180687074
Nonmetal,H,0.9615562061,0.1366970265
Nonmetal,H,0.9615562061,0.1180687074
Nonmetal,H,0.9615562061,0.1366970265
Nonmetal,H,0.9615562061,0.1180687074
Nonmetal,H,0.9615562061,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,H,0.1280635148,0.1180687074
Nonmetal,H,0.1496759811,0.1366970265
Nonmetal,C,0.1280635148,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1280635148,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1280635148,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,0.0687863404
Nonmetal,C,0.1496759811,-0.2846135101
Nonmetal,C,0.1496759811,0.6016040344
Nonmetal,C,0.1496759811,-0.2846135101
Nonmetal,C,0.1496759811,0.6016040344
Nonmetal,C,0.1496759811,-0.2846135101
Nonmetal,C,0.1496759811,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,C,-0.2502885026,-0.2846135101
Nonmetal,C,0.6221010387,0.6016040344
Nonmetal,N,-0.2502885026,-0.1777457714
Nonmetal,N,0.6221010387,-0.1777457714
Nonmetal,N,-0.2502885026,-0.1777457714
Nonmetal,N,0.6221010387,-0.1777457714
Nonmetal,N,-0.2502885026,-0.1777457714
Nonmetal,N,0.6221010387,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,-0.1777457714
Nonmetal,N,-0.1731366826,0.0415345842
Nonmetal,N,-0.1731366826,0.0415345842
Nonmetal,N,-0.1731366826,0.0415345842
Nonmetal,N,-0.1731366826,0.0415345842
Nonmetal,N,-0.1731366826,0.0415345842
Nonmetal,N,-0.1731366826,0.0415345842
Nonmetal,N,0.083339698,0.0415345842
Nonmetal,N,0.083339698,0.0415345842
Nonmetal,N,0.083339698,0.0415345842
Nonmetal,N,0.083339698,0.0415345842
Nonmetal,N,0.083339698,0.0415345842
Nonmetal,N,0.083339698,0.0415345842
Nonmetal,O,0.083339698,-0.5179198335
Nonmetal,O,0.083339698,-0.5566826265
Nonmetal,O,0.083339698,-0.5179198335
Nonmetal,O,0.083339698,-0.5566826265
Nonmetal,O,0.083339698,-0.5179198335
Nonmetal,O,0.083339698,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.5179198335
Nonmetal,O,-0.5230806073,-0.5566826265
Nonmetal,O,-0.4624534051,-0.8766189864
Nonmetal,O,-0.5230806073,-0.8766189864
Nonmetal,O,-0.4624534051,-0.8766189864
Nonmetal,O,-0.5230806073,-0.8766189864
Transition Metal,Cu,0.4078232249,0.2227228348
Transition Metal,Cu,0.4078232249,0.2227228348
Transition Metal,Cu,0.4078232249,0.2227228348
Transition Metal,Cu,0.4167182446,0.2261751507
Transition Metal,Cu,0.4609260559,0.2969011132
Transition Metal,Cu,0.4690010548,0.3069600527
Nonmetal,H,1.0646281242,0.1080251628
Nonmetal,H,0.987938568,0.1355575089
Nonmetal,H,0.9707110673,0.1080251628
Nonmetal,H,1.0646281242,0.1080251628
Nonmetal,H,0.987938568,0.1296476087
Nonmetal,H,0.9707110673,0.1030285224
Nonmetal,H,1.0658061504,0.1080251628
Nonmetal,H,0.987938568,0.1296476087
Nonmetal,H,0.9707110673,0.1030285224
Nonmetal,H,1.0658061504,0.1080251628
Nonmetal,H,0.987938568,0.1296476087
Nonmetal,H,0.9707110673,0.1080251628
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1580762068,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1218633056,0.1030285224
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1398137985,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1278533501,0.1030285224
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1491325349,0.1296476087
Nonmetal,H,0.1278533501,0.1030285224
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1491325349,0.1296476087
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1580762068,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1218633056,0.1030285224
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1398137985,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1278533501,0.1030285224
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1491325349,0.1296476087
Nonmetal,H,0.1278533501,0.1030285224
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1491325349,0.1296476087
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1580762068,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1218633056,0.1030285224
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1398137985,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1278533501,0.1030285224
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1491325349,0.1296476087
Nonmetal,H,0.1278533501,0.1030285224
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1491325349,0.1296476087
Nonmetal,H,0.1398137985,0.1080251628
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,H,0.1580762068,0.1355575089
Nonmetal,H,0.1278533501,0.1080251628
Nonmetal,H,0.1218633056,0.1030285224
Nonmetal,H,0.1580762068,0.1296476087
Nonmetal,H,0.1218633056,0.1080251628
Nonmetal,C,0.1278533501,0.0388079025
Nonmetal,C,0.1398137985,-0.1807164896
Nonmetal,C,0.1278533501,0.0388079025
Nonmetal,C,0.1398137985,-0.0108443942
Nonmetal,C,0.1580762068,-0.0108443942
Nonmetal,C,0.1278533501,0.0481788953
Nonmetal,C,0.1398137985,-0.1889153812
Nonmetal,C,0.1491325349,0.0388079025
Nonmetal,C,0.1278533501,-0.0284307591
Nonmetal,C,0.1278533501,0.0481788953
Nonmetal,C,0.1491325349,-0.1889153812
Nonmetal,C,0.1398137985,0.0388079025
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,0.04202569,-0.0595483306
Nonmetal,C,0.0250633694,0.0388079025
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,-0.1123992931,0.0388079025
Nonmetal,C,0.0884869173,-0.0208768669
Nonmetal,C,0.0214789612,-0.0108443942
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1996594604
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,0.0731445147,0.0388079025
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0388079025
Nonmetal,C,0.0061158566,-0.0108443942
Nonmetal,C,0.0609644875,-0.0108443942
Nonmetal,C,-0.1123992931,0.0481788953
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,0.0495461244,0.0388079025
Nonmetal,C,0.04202569,-0.0284307591
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,-0.1123992931,-0.1889153812
Nonmetal,C,0.0884869173,0.0388079025
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,0.04202569,-0.0595483306
Nonmetal,C,0.0250633694,0.0388079025
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,-0.1123992931,0.0388079025
Nonmetal,C,0.0884869173,-0.0208768669
Nonmetal,C,0.0214789612,-0.0108443942
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1996594604
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,0.0731445147,0.0388079025
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0388079025
Nonmetal,C,0.0061158566,-0.0108443942
Nonmetal,C,0.0609644875,-0.0108443942
Nonmetal,C,-0.1123992931,0.0481788953
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,0.0495461244,0.0388079025
Nonmetal,C,0.04202569,-0.0284307591
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,-0.1123992931,-0.1889153812
Nonmetal,C,0.0884869173,0.0388079025
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,0.04202569,-0.0595483306
Nonmetal,C,0.0250633694,0.0388079025
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,-0.1123992931,0.0388079025
Nonmetal,C,0.0884869173,-0.0208768669
Nonmetal,C,0.0214789612,-0.0108443942
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1996594604
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,0.0731445147,0.0388079025
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0388079025
Nonmetal,C,0.0061158566,-0.0108443942
Nonmetal,C,0.0609644875,-0.0108443942
Nonmetal,C,-0.1123992931,0.0481788953
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,0.0495461244,0.0388079025
Nonmetal,C,0.04202569,-0.0284307591
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,-0.1123992931,-0.1889153812
Nonmetal,C,0.0884869173,0.0388079025
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1807164896
Nonmetal,C,0.0789069623,0.0481788953
Nonmetal,C,0.04202569,-0.0595483306
Nonmetal,C,0.0250633694,0.0388079025
Nonmetal,C,0.0731445147,-0.1889153812
Nonmetal,C,-0.1123992931,0.0388079025
Nonmetal,C,0.0884869173,-0.0208768669
Nonmetal,C,0.0214789612,-0.0108443942
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,C,-0.1123992931,-0.1996594604
Nonmetal,C,0.0789069623,0.0329191935
Nonmetal,N,0.0731445147,-0.1092933767
Nonmetal,N,-0.1123992931,-0.1672419652
Nonmetal,N,0.0789069623,-0.0918756436
Nonmetal,N,0.0061158566,-0.1672419652
Nonmetal,N,0.0609644875,-0.1092933767
Nonmetal,N,-0.1123992931,-0.1889153812
Nonmetal,N,0.0731445147,-0.1092933767
Nonmetal,N,0.0495461244,-0.1672419652
Nonmetal,N,0.04202569,-0.1092933767
Nonmetal,N,0.0789069623,-0.1504382725
Nonmetal,N,-0.1123992931,-0.0918756436
Nonmetal,N,0.0884869173,-0.1889153812
Nonmetal,N,-0.0853380295,-0.1092933767
Nonmetal,N,-0.1026986074,-0.1672419652
Nonmetal,N,-0.0620629187,-0.0918756436
Nonmetal,N,-0.1123992931,-0.1672419652
Nonmetal,N,-0.081535691,-0.1092933767
Nonmetal,N,-0.1412999362,-0.1889153812
Nonmetal,N,-0.0706662703,-0.1092933767
Nonmetal,N,-0.1165176779,-0.1672419652
Nonmetal,N,-0.0853380295,-0.1092933767
Nonmetal,N,-0.1026986074,-0.1504382725
Nonmetal,N,-0.0620629187,-0.0918756436
Nonmetal,N,-0.1412999362,-0.1889153812
Nonmetal,N,-0.0853380295,-0.1092933767
Nonmetal,N,-0.1026986074,-0.1672419652
Nonmetal,N,-0.0620629187,-0.0961804252
Nonmetal,N,-0.1123992931,-0.1672419652
Nonmetal,N,-0.081535691,-0.1092933767
Nonmetal,N,-0.1412999362,-0.1889153812
Nonmetal,N,-0.0706662703,-0.1092933767
Nonmetal,N,-0.1165176779,-0.1672419652
Nonmetal,N,-0.0853380295,-0.1092933767
Nonmetal,N,-0.1026986074,-0.1504382725
Nonmetal,N,-0.0620629187,-0.0918756436
Nonmetal,N,-0.1453337719,-0.1889153812
Nonmetal,N,-0.0853380295,-0.1092933767
Nonmetal,N,-0.1026986074,-0.1648840989
Nonmetal,N,-0.0620629187,-0.0961804252
Nonmetal,N,-0.1123992931,-0.1672419652
Nonmetal,N,-0.081535691,-0.1092933767
Nonmetal,N,-0.1412999362,-0.1889153812
Nonmetal,N,-0.0706662703,-0.1092933767
Nonmetal,N,-0.1165176779,-0.1672419652
Nonmetal,N,-0.081535691,-0.1092933767
Nonmetal,N,-0.1026986074,-0.1504382725
Nonmetal,N,-0.0620629187,-0.0918756436
Nonmetal,N,-0.1453337719,-0.1889153812
Transition Metal,Cu,0.101053396,0.0483889261
Transition Metal,Cu,0.0912693715,0.0587441399
Transition Metal,Cu,0.0604962961,0.010304696
Transition Metal,Cu,0.0912693715,0.0429051535
Transition Metal,Cu,0.1102847245,0.0483889261
Transition Metal,Cu,0.0912693715,0.0587441399
Transition Metal,Cu,0.0604962961,0.010304696
Transition Metal,Cu,0.0912693715,0.0483889261
Nonmetal,P,1.0494439602,0.1519439505
Nonmetal,P,1.0254932642,0.1738050194
Nonmetal,P,1.0132523775,0.1096185779
Nonmetal,P,1.0364788175,0.1096185779
Nonmetal,P,1.0494439602,0.1519439505
Nonmetal,P,1.0254932642,0.1752614738
Nonmetal,P,1.0132523775,0.1096185779
Nonmetal,P,1.0364788175,0.1096185779
Nonmetal,H,0.2146117538,0.0909455501
Nonmetal,H,0.2297850698,0.1279072156
Nonmetal,H,0.1784979204,0.1279072156
Nonmetal,H,0.1784979204,0.0994735742
Nonmetal,H,0.2192900032,0.0994735742
Nonmetal,H,0.2360505313,0.1279072156
Nonmetal,H,0.1784979204,0.1279072156
Nonmetal,H,0.1727641821,0.0909455501
Nonmetal,H,0.1102847245,0.0994735742
Nonmetal,H,0.1399664017,0.1279072156
Nonmetal,H,0.1399664017,0.1279072156
Nonmetal,H,0.1102847245,0.0909455501
Nonmetal,H,0.1102847245,0.0909455501
