pacmof,mpnn,cof,opt_core,ddec_core,zeolites,cof-test
ABUXUT_FSR,ABOVOF_FSR,12010N2_ddec,BUVYEX_clean_min_charges,AFOYOK_clean,BOG.new,20167N2_ddec
ABXALA01_FSR,ABOVUL_FSR,12011N2_ddec,CANRUG_clean_min_charges,AFUPEX_clean,BPH.new,19310N2_ddec
ABZCUH01_FSR,ABPZCU01_FSR,12012N2_ddec,CATART03_clean_min_charges,AGARUW_clean,BRE.new,13012N2_ddec
ABZCUH05_FSR,ABUSOG_FSR,12020N2_ddec,CEGDUO_clean_min_charges,AGAXOV_clean,BSV.new,21101N2_ddec
ACAFIT_FSR,ABUXUT_FSR,12022N2_ddec,CEGFAW_clean_min_charges,AGESIP_clean,CAN.new,19510N2_ddec
ACAFOZ_FSR,ABXALA01_FSR,12023N2_ddec,CEGWER_clean_min_charges,AGUWUV_clean,CAS.new,20201N2_ddec
ACAJIZ_freeONLY,ABZCUH01_FSR,12024N2_ddec,CEHZAR01_clean_min_charges,AHINIP_clean,CDO.new,19281N2_ddec
ACAJOF_FSR,ABZCUH05_FSR,12030N2_ddec,CESYEF_clean_min_charges,AHOKIR01_clean,CFI.new,20631N2_ddec
ACATAB_FSR,ACAFIT_FSR,12040N2_ddec,CESYEF01_clean_min_charges,AHUTIH_clean,CGF.new,18112N2_ddec
ACATIJ_FSR,ACAFOZ_FSR,12050N2_ddec,CICYIX_clean_min_charges,AHUTIH01_clean,CGS.new,16191N2_ddec
ACAZAG_FSR,ACAJIZ_freeONLY,12060N2_ddec,CIGYAU_clean_min_charges,AJAYIT_clean,CHA.new,19453N2_ddec
ACEGIA_FSR,ACAJOF_FSR,12061N2_ddec,CISMAT01_clean_min_charges,AKUHOD01_clean,CZP.new,20410N2_ddec
ACEGOG_FSR,ACAKEX_FSR,12062N2_ddec,COGWEB_clean_min_charges,ALAMUW_clean,DAC.new,19541N2_ddec
ACEKIE_FSR,ACATAB_FSR,13000N2_ddec,COYTEQ_clean_min_charges,ALIXOJ_clean,DDR.new,19520N2_ddec
ACEKOK_FSR,ACATIJ_FSR,13010N2_ddec,CUHPUR_clean_min_charges,ALIXUP_clean,DFO.new,13150N2_ddec
ACENIF_FSR,ACAZAG_FSR,13011N2_ddec,CUMDIY_clean_min_charges,ALUJIB_clean,DFT.new,20169N2_ddec
ACETCO_FSR,ACEGIA_FSR,13012N2_ddec,CUNFOH01_clean_min_charges,ALUJOH_clean,DOH.new,07013N3_ddec
ACIGAX_FSR,ACEGOG_FSR,13020N2_ddec,CUNWEO_clean_min_charges,ALUJUN_clean,DON.new,11031N2_ddec
ACIGEB_FSR,ACEKIE_FSR,13030N2_ddec,CUNXIS_clean_min_charges,ALUKAU_clean,EAB.new,20116N3_ddec
ACIKAA_FSR,ACEKOK_FSR,13040N3_ddec,CUNXIS10_clean_min_charges,ALUKIC_clean,EDI.new,16070N2_ddec
ACIPEJ_FSR,ACENIF_FSR,13050N2_ddec,CUTKOS_clean_min_charges,ALULAV_clean,EMT.new,20443N3_ddec
ACIRIP_FSR,ACETCO_FSR,13060N2_ddec,CUYHIO_clean_min_charges,ALULID_clean,EON.new,20442N3_ddec
ACISEM_FSR,ACIGAX_FSR,13070N2_ddec,DAGDIZ_clean_min_charges,AMAFOK_clean,EPI.new,17120N2_ddec
ACISIQ_FSR,ACIGEB_FSR,13071N2_ddec,DAJHUS_clean_min_charges,AMALND_clean,ERI.new,16060N2_ddec
ACISOW_FSR,ACIJAX_FSR,13072N2_ddec,DEGJIK_clean_min_charges,AMIKOX_clean,ESV.new,19122N2_ddec
ACITAK_FSR,ACIKAA_FSR,13073N2_ddec,DEJCEB_clean_min_charges,AMILUE_clean,ETR.new,20611N2_ddec
ACIZIX_FSR,ACIPEJ_FSR,13074N2_ddec,DEYDOA_clean_min_charges,AMIMEP_clean,EUO.new,19101N2_ddec
ACODAA_FSR,ACIRIP_FSR,13075N2_ddec,DEYLUQ_clean_min_charges,AMIWOJ_clean,EZT.new,18010N3_ddec
ACOGAB_freeONLY,ACIROV_FSR,13076N2_ddec,DEYVUA_clean_min_charges,AMIXAW_clean,FAR.new,16051N2_ddec
ACOGEF_freeONLY,ACISEM_FSR,13077N2_ddec,DIDDOK_clean_min_charges,AMIXEA_clean,FAU.new,13090N2_ddec
ACOHAE_FSR,ACISIQ_FSR,13078N2_ddec,DOGZIJ_clean_min_charges,AMOZAE_clean,FER.new,20168N2_ddec
ACOHEF_FSR,ACISOW_FSR,13080N2_ddec,DOQGUM_clean_min_charges,AMUCOB_clean,FRA.new,20421N2_ddec
ACOHUW01_FSR,ACITAK_FSR,13090N2_ddec,DOTTUC_charged_min_charges,AMUXAI_clean,GIS.new,15070N2_ddec
ACOLIP_FSR,ACIWUF_FSR,13100N2_ddec,DOTWAL_clean_min_charges,ANENEN_clean,GIU.new,19361N2_ddec
ACOLUB_FSR,ACIXAM_FSR,13110N2_ddec,DUBWON_clean_min_charges,ANENIR_clean,GME.new,17191N2_ddec
ACOMOX_FSR,ACIZIX_FSR,13120N2_ddec,DUXZIG01_clean_min_charges,ANOMUM_clean,GON.new,17210N2_ddec
ACOVEU_FSR,ACODAA_FSR,13121N2_ddec,EBEMEF_clean_min_charges,ANUGIA_clean,GOO.new,20531N2_ddec
ACOYEY_FSR,ACOHAE_FSR,13122N2_ddec,EBEMII_clean_min_charges,ANUGUM_clean,HEU.new,18060N2_ddec
ACRNCU_FSR,ACOHEF_FSR,13123N2_ddec,ECAHAT_clean_min_charges,APEBED_clean,IFR.new,20600N2_ddec
ACUBOP_FSR,ACOHUW01_FSR,13130N2_ddec,ECIWUJ_clean_min_charges,AQALOU_clean,IHW.new,19090N2_ddec
ACUBOP01_FSR,ACOLIP_FSR,13140N2_ddec,ECODEG_clean_min_charges,AQETIA_clean,IMF.new,19181N2_ddec
ACUFEL_FSR,ACOLUB_FSR,13141N2_ddec,EDADIX_clean_min_charges,AQETUM_clean,ISV.new,15161N2_ddec
ACUFIO01_FSR,ACOVEU_FSR,13142N2_ddec,EDUSIF_clean_min_charges,AQMAND_clean,ITE.new,16110N3_ddec
ACUFOU_FSR,ACOYEY_FSR,13150N2_ddec,EGEJIK_clean5b_min_charges,AQMAND01_clean,ITH.new,19214N2_ddec
ACUFOV_FSR,ACRNCU_FSR,13160N2_ddec,EKOPIE_clean_min_charges,AQODOA_clean,ITR.new,08010N2_ddec
ACUFUA_FSR,ACUBOP_FSR,13161N2_ddec,EKOPOK_clean_min_charges,AQUCOF_clean,ITW.new,13072N2_ddec
ACUFUB_FSR,ACUBOP01_FSR,13170N2_ddec,ELAFUT_clean_min_charges,AQUDAS_clean,IWR.new,21140N2_ddec
ACUGAH_FSR,ACUFEL_FSR,13180N3_ddec,EMITUQ_clean_min_charges,ARIBOS_clean,IWS.new,19022N3_ddec
ACUGEL_FSR,ACUFIO01_FSR,13181N3_ddec,EQIWAD_clean_min_charges,AROFAP_clean,IWV.new,21312N2_ddec
ACURUO_FSR,ACUFOU_FSR,13182N3_ddec,ERUFUS_clean_min_charges,AROFET_clean,IWW.new,16160N2_ddec
ADABAK_FSR,ACUFOV_FSR,13190N2_ddec,ESEVIH_clean_min_charges,ARUYES,JBW.new,15010N2_ddec
ADABUE_FSR,ACUFUB_FSR,13191N2_ddec,EXEWAG_clean_min_charges,ASACON_clean,JRY.new,20610N2_ddec
ADACUE_FSR,ACUGAH_FSR,14000N2_ddec,EZABEN_clean_min_charges,ASADAA_clean,KFI.new,19464N2_ddec
ADACUE01_FSR,ACURUO_FSR,14010N2_ddec,EZUCIM_clean_min_charges,ASALIP_clean,LAU.new,20460N2_ddec
ADAPAX_FSR,ADABAK_FSR,14020N2_ddec,FAGREM_clean_min_charges,ATAFIK_clean,LEV.new,17110N2_ddec
ADAVEJ01_FSR,ADABEO_FSR,14030N2_ddec,FAKLOU_clean_min_charges,ATIBAG_clean,LIO.new,16020N2_ddec
ADAXEK_freeONLY,ADABUE_FSR,14040N2_ddec,FAPTIB_clean_min_charges,ATIBIO_clean,LOS.new,20490N2_ddec
ADAXIO_freeONLY,ADACUE_FSR,14050N3_ddec,FAPTOH_clean_min_charges,ATIBOU_clean,LOV.new,21032N2_ddec
ADAXOV_FSR,ADACUE01_FSR,14051N3_ddec,FECWOB01_clean_min_charges,ATIBOU01_clean,LTA.new,16055N2_ddec
ADEGAU_FSR,ADADEP_FSR,14060N2_ddec,FECZAQ_manual_min_charges,ATIBUA_clean,LTF.new,12011N2_ddec
ADEGIA01_FSR,ADAPAX_FSR,14070N2_ddec,FEFCUQ_clean_min_charges,ATICAH_clean,LTL.new,21280N3_ddec
ADETEL_FSR,ADAQII_FSR,14071N2_ddec,FEFDAX_clean_min_charges,ATICEL_clean,LTN.new,13161N2_ddec
ADEZUH_FSR,ADAVEJ01_FSR,14072N2_ddec,FERHAN_clean_min_charges,ATIJUJ_manual,MAR.new,20362N2_ddec
ADILIJ01_FSR,ADAXEK_freeONLY,14073N2_ddec,FEWGUL_clean_min_charges,ATOTIM_manual,MAZ.new,12030N2_ddec
ADINOT_FSR,ADAXIO_freeONLY,14080N2_ddec,FEZREJ_clean_min_charges,ATOWIQ_clean,MEI.new,16271N2_ddec
ADIPAH_FSR,ADAXOV_FSR,14090N2_ddec,FIGXAW_clean_min_charges,ATOWOW_clean,MEL.new,13182N3_ddec
ADIQAH_FSR,ADEGAU_FSR,14091N2_ddec,FIJCUX_clean_min_charges,ATOXEN_clean,MEP.new,20040N2_ddec
ADIQEL_FSR,ADEGIA01_FSR,15000N2_ddec,FIJCUX01_clean_min_charges,AVAQIX_clean,MER.new,15171N2_ddec
ADIQIP_FSR,ADETEL_FSR,15010N2_ddec,FIPWOS_clean_min_charges,AVELOD_clean,MFI.new,19482N2_ddec
ADIQNI01_FSR,ADEZUH_FSR,15020N2_ddec,FIPWUY_clean_min_charges,AVEMAQ_clean,MFS.new,20430N3_ddec
ADIVUG_FSR,ADILIJ01_FSR,15021N2_ddec,FIPXEJ_clean_min_charges,AVEMOE_clean,MON.new,17150N2_ddec
ADIZUJ_FSR,ADINOT_FSR,15030N2_ddec,FIQCEN_clean_min_charges,AVEROJ_clean,MOR.new,20166N2_ddec
ADODII_FSR,ADIPAH_FSR,15031N2_ddec,FIRVEH_clean_min_charges,AVESAW_clean,MOZ.new,12024N2_ddec
ADODOO_FSR,ADIQAH_FSR,15040N2_ddec,FOHCIP_clean_min_charges,AVIMOI_clean,MSE.new,20441N3_ddec
ADODUU_FSR,ADIQEL_FSR,15050N2_ddec,FUDQIF_clean_min_charges,AVIMUO_clean,MSO.new,16000N2_ddec
ADOJEJ_FSR,ADIQIP_FSR,15060N2_ddec,FUNBAS_clean_min_charges,AVIPAX_clean,MTF.new,20160N2_ddec
ADOJIN_FSR,ADIQNI01_FSR,15061N2_ddec,FUNBEW_clean_min_charges,AVUDAX_clean,MTN.new,21060N2_ddec
ADOJOT_FSR,ADIVUG_FSR,15070N2_ddec,FUNBIA_clean_min_charges,AWAGEL_clean,MTW.new,19130N2_ddec
ADOLAH_FSR,ADIZUJ_FSR,15071N2_ddec,FUNBOG_clean_min_charges,AWEJIW_clean,MVY.new,13160N2_ddec
ADOPAN_FSR,ADODII_FSR,15072N2_ddec,FUNCAT_clean_min_charges,AWOFOI_clean,MWW.new,16440N2_ddec
ADOQOC_FSR,ADOKAG_FSR,15080N2_ddec,FUNCEX_clean_min_charges,AXOCEW_clean,NAB.new,21040N3_ddec
ADOXUP_FSR,ADOKEK_FSR,15081N2_ddec,FUSWIA_clean_min_charges,AXUBAW_manual,NAT.new,19570N2_ddec
ADULIX_FSR,ADOKOU_FSR,15090N2_ddec,GACQAE_clean_min_charges,AXUHIL_clean,NES.new,15091N2_ddec
ADUPOH_FSR,ADOKUA_FSR,15091N2_ddec,GALCED_clean_min_charges,AYUWUM_clean,NON.new,19540N2_ddec
ADUTID03_FSR,ADOLAH_FSR,15100N2_ddec,GAXWEJ_clean_min_charges,AZIXUD_clean,NPO.new,20211N2_ddec
ADUVAX_FSR,ADOPAN_FSR,15101N2_ddec,GAYFOD_clean_min_charges,AZOBUN_clean,NSI.new,16370N2_ddec
AFADOD_FSR,ADOQOC_FSR,15110N2_ddec,GAYFUJ_clean_min_charges,BACMOH_clean,OBW.new,19291N2_ddec
AFAHEW_FSR,ADOXUP_FSR,15111N2_ddec,GEDLIM_clean_min_charges,BAEDTA01_clean,OFF.new,13110N2_ddec
AFAKIE_FSR,ADULIX_FSR,15131N2_ddec,GEHSAN_clean_min_charges,BAHGUN_clean,OSI.new,20162N2_ddec
AFAVOU_FSR,ADUPOH_FSR,15140N2_ddec,GIDKOU_clean_min_charges,BAHGUN01_clean,OSO.new,16390N2_ddec
AFAVUA_FSR,ADUTID03_FSR,15150N2_ddec,GIFKIP_clean_min_charges,BAHGUN04_clean,OWE.new,13170N2_ddec
AFAWAF_FSR,ADUVAX_FSR,15160N2_ddec,GIHBII_clean_min_charges,BAHMAZ_clean,PAU.new,
AFEBAQ_FSR,AFADOD_FSR,15161N2_ddec,GIMSIG_clean_min_charges,BAKGAX_clean,PHI.new,
AFECIY01_FSR,AFAHEW_FSR,15162N2_ddec,GIMVAA_clean_min_charges,BAKGIF_clean,PON.new,
AFECUM_FSR,AFAKIE_FSR,15163N2_ddec,GINLIA_clean_min_charges,BAKJEE_clean,PUN.new,
AFEDAR_FSR,AFAVOU_FSR,15170N2_ddec,GITWIQ_clean_min_charges,BAKJII_clean,QUA.new,
AFEGAV_FSR,AFAVUA_FSR,15171N2_ddec,GIZJOP_clean_min_charges,BALMUW_clean,RHO.new,
AFEHAV_FSR,AFAWAF_FSR,15180N2_ddec,GOMRAC_clean_min_charges,BALMUW01_clean,RRO.new,
AFELIH_FSR,AFEBAQ_FSR,15181N2_ddec,GOMREG_clean_min_charges,BANMAG_clean,RSN.new,
AFEYAL02_FSR,AFECIY01_FSR,15182N2_ddec,GUFREF_clean_min_charges,BARZAW_clean,RTE.new,
AFEYAL03_FSR,AFECUM_FSR,15183N2_ddec,GULPIN_clean_min_charges,BARZOK_clean,RTH.new,
AFEYUI_FSR,AFEDAR_FSR,15184N2_ddec,GUWDUY_clean_min_charges,BARZUR_clean,RUT.new,
AFICAU_FSR,AFEGAV_FSR,15185N2_ddec,GUXLIU_clean_min_charges,BASJUB_clean,RWR.new,
AFIPUB_FSR,AFEHAV_FSR,15186N2_ddec,GUYLOC_clean_min_charges,BASSOF_clean,RWY.new,
AFITEP_FSR,AFELIH_FSR,15190N2_ddec,GUYLUI_clean_min_charges,BASSUL_clean,SAF.new,
AFITIT_FSR,AFENUX_FSR,15200N3_ddec,GUYLUI01_clean_min_charges,BASTAS_clean,SAO.new,
AFITUF_freeONLY,AFEYAL02_FSR,15210N2_ddec,GUYMAP_clean_min_charges,BASTEW_clean,SAS.new,
AFIVIX_FSR,AFEYAL03_FSR,15211N2_ddec,HABRIN_clean_min_charges,BASTUM_clean,SAT.new,
AFIXAO_freeONLY,AFEYOC_FSR,15220N2_ddec,HAFQOW_clean_min_charges,BAWRUO_clean,SAV.new,
AFOHOT_FSR,AFEYUI_FSR,15240N2_ddec,HAFQUC_clean_min_charges,BAXSIE_clean,SBE.new,
AFOJEK01_FSR,AFICAU_FSR,15242N2_ddec,HAKWUM_clean_min_charges,BAZJIX_clean,SBN.new,
AFOJIO_FSR,AFIPUB_FSR,15250N2_ddec,HAMJOW_clean_min_charges,BEGBOG_clean,SBS.new,
AFOKOW_FSR,AFITEP_FSR,15251N2_ddec,HAZNON_clean_min_charges,BEKSAM_clean,SBT.new,
AFOKUC_FSR,AFITIT_FSR,15252N2_ddec,HEBKEG_clean_min_charges,BEKZEX_clean,SFE.new,
AFOLIR_FSR,AFITUF_freeONLY,15253N2_ddec,HEGJUZ_clean_min_charges,BEKZEX01_clean,SFF.new,
AFORCD_FSR,AFIVIX_FSR,16000N2_ddec,HEKTUO_clean_min_charges,BELYIC_clean,SFG.new,
AFOROD_FSR,AFIXAO_freeONLY,16001N2_ddec,HEXNII_clean_min_charges,BENXOJ,SFH.new,
AFOSIY_FSR,AFOHOT_FSR,16002N2_ddec,HEZKIH_clean_min_charges,BENXUP_clean,SFN.new,
AFOTUL_FSR,AFOJEK01_FSR,16010N2_ddec,HICVUM_clean_min_charges,BEPLUF_clean,SFO.new,
AFOVAT_FSR,AFOJIO_FSR,16011N2_ddec,HIFTOG_clean_min_charges,BEPMAM_clean,SGT.new,
AFOVEX_FSR,AFOKOW_FSR,16020N2_ddec,HIFTOG01_clean_min_charges,BEPMEQ_clean,SIV.new,
AFOVOH_FSR,AFOKUC_FSR,16030N2_ddec,HIFTOG02_clean_min_charges,BEPMIU_clean,SOD.new,
AFUDUA_FSR,AFOLIR_FSR,16031N2_ddec,HIFVOI_clean_min_charges,BEPNIV_clean,SOF.new,
AFUJOA_FSR,AFORCD_FSR,16032N2_ddec,HIHGOW_clean_min_charges,BEPNOB_clean,SOS.new,
AFUKAP_FSR,AFOROD_FSR,16040N2_ddec,HIMSAY_clean_min_charges,BEPNUH_clean,SSF.new,
AFUKIW_FSR,AFOSIY_FSR,16041N2_ddec,HOWPOZ_clean_min_charges,BEPPAP_clean,SSY.new,
AFUMCO04_FSR,AFOTUL_FSR,16050N2_ddec,HUHJAW_clean_min_charges,BEPPIX_clean,STF.new,
AFUQIB_FSR,AFOVAT_FSR,16051N2_ddec,HUTTIA_clean_min_charges,BEPPOD_clean,STI.new,
AFUQUN_FSR,AFOVEX_FSR,16052N2_ddec,IBICAZ_clean_min_charges,BEPRIZ_clean,STW.new,
AFUWIK_FSR,AFOVOH_FSR,16053N2_ddec,IBICED_clean_min_charges,BEPROF_clean,SZR.new,
AFUXAC_FSR,AFUDUA_FSR,16054N2_ddec,IBICON_clean_min_charges,BEPVAV_clean,TER.new,
AFUYAE_FSR,AFUJOA_FSR,16055N2_ddec,IBIDAA_clean_min_charges,BEPVEZ_clean,THO.new,
AGACIW01_FSR,AFUKAP_FSR,16056N2_ddec,IBUDOZ_clean_min_charges,BEPVID_clean,TOL.new,
AGALUR_FSR,AFUKIW_FSR,16057N2_ddec,ICANAD_clean_min_charges,BEPVOJ_clean,TON.new,
AGAMED_FSR,AFUMCO04_FSR,16058N2_ddec,ICANEH_clean_min_charges,BEPVOJ01_clean,TSC.new,
AGARUW_freeONLY,AFUQIB_FSR,16060N2_ddec,ICEGED_clean_min_charges,BEPYIG_clean,TUN.new,
AGAWOU_FSR,AFUQUN_FSR,16061N2_ddec,IGOCOX_clean_min_charges,BERFIP_clean,UEI.new,
AGEDIC_FSR,AFUWIK_FSR,16070N2_ddec,IJENER_clean_min_charges,BERGAI_clean,UFI.new,
AGESIP_freeONLY,AFUXAC_FSR,16080N2_ddec,IJIROI_ion_b_min_charges,BETDAH_clean,UOZ.new,
AGEWOZ_FSR,AFUYAE_FSR,16110N3_ddec,ILOJEZ_clean_min_charges,BETDEL_clean,USI.new,
AGEZUJ_FSR,AGACIW01_FSR,16111N3_ddec,IMACZN01_clean_min_charges,BETFAJ_clean,UTL.new,
AGIFIH_FSR,AGALUR_FSR,16112N3_ddec,IQUNAJ_clean_min_charges,BETFEN_clean,VET.new,
AGIJUW_FSR,AGAMED_FSR,16113N3_ddec,IQUNAJ01_clean_min_charges,BETFUD_clean,VFI.new,
AGIKAD_FSR,AGARAC_FSR,16120N2_ddec,ISEQIH_clean_min_charges,BETGAK_clean,VNI.new,
AGIMIN_FSR,AGARUW_freeONLY,16121N2_ddec,ISIMAZ_clean_min_charges,BEVQUP_clean,WEI.new,
AGIMIO_FSR,AGAWOU_FSR,16130N3_ddec,ISOHEE_clean_min_charges,BEXPAX_clean,YUG.new,
AGIMOU_FSR,AGEDIC_FSR,16140N2_ddec,IXISAJ_clean_min_charges,BEXSAA_clean,ZON.new,
AGMTHY_FSR,AGESIP_freeONLY,16141N2_ddec,IXISOX_clean_min_charges,BEXTUV_clean,,
AGOJOX_FSR,AGEWOZ_FSR,16142N2_ddec,IXODUV_clean_min_charges,BEYSEF_clean,,
AGONIT_FSR,AGEZUJ_FSR,16150N2_ddec,IXOFAD_clean_min_charges,BEZSIK_clean,,
AGOSOE_FSR,AGIFIH_FSR,16160N2_ddec,IXOFEH_clean_min_charges,BIBBUL_clean,,
AGOWID_FSR,AGIJUW_FSR,16170N2_ddec,IXOFIL_clean_min_charges,BIBXUH_clean,,
AGOWUO_FSR,AGIKAD_FSR,16171N2_ddec,IXUREZ_clean_min_charges,BICDAU_clean,,
AGOXAX_FSR,AGIMIN_FSR,16172N2_ddec,IYIGEC_clean_min_charges,BIFKEI_clean,,
AGOZED_FSR,AGIMIO_FSR,16173N2_ddec,IYUJAO_clean_min_charges,BIHMUC_clean,,
AGOZED01_FSR,AGIMOU_FSR,16174N2_ddec,JAVNIE_clean_min_charges,BIMDEF_clean,,
AGUBEK_FSR,AGMTHY_FSR,16190N2_ddec,JIVFUQ_clean_min_charges,BIMDIL_clean,,
AGULOE_FSR,AGOJOX_FSR,16191N2_ddec,KAVROQ_clean_min_charges,BIVXEK_clean,,
AGUMUL_FSR,AGONIT_FSR,16200N2_ddec,KAXQIL_clean_min_charges,BIWYAH10_clean,,
AGUSUR_FSR,AGOSOE_FSR,16201N2_ddec,KAXQOR_clean_min_charges,BIYTEJ,,
AGUWEG01_FSR,AGOWID_FSR,16210N2_ddec,KAXQOR01_clean_min_charges,BOHGOU_clean,,
AGUWUV_freeONLY,AGOWUO_FSR,16211N2_ddec,KAYBIX_clean_min_charges,BOJCIN_clean,,
AGUYEG_FSR,AGOXAX_FSR,16230N2_ddec,KAYBUJ_clean_min_charges,BOLPEY_clean,,
AHADUI_FSR,AGOZED_FSR,16250N3_ddec,KEFBEE_clean_min_charges,BOMCUB_clean,,
AHADUJ_FSR,AGOZED01_FSR,16251N3_ddec,KEWZOD_clean_min_charges,BONMEX_clean,,
AHAFAR_FSR,AGPYNO01_FSR,16260N2_ddec,KEXKAB_clean_min_charges,BONNIC_clean,,
AHAFEV_FSR,AGUBEK_FSR,16271N2_ddec,KEXKEF_clean_min_charges,BONWAD_clean,,
AHAHIB_FSR,AGULIY_FSR,16272N2_ddec,KINHAS_clean_min_charges,BONWIL_clean,,
AHAJUP_FSR,AGULOE_FSR,16273N2_ddec,KINKAV_clean_min_charges,BORBEQ_clean,,
AHAKAW_FSR,AGUMUL_FSR,16290N3_ddec,KIXXOG_clean_min_charges,BOWQAG_clean,,
AHALEB02_FSR,AGUSUR_FSR,16310N2_ddec,KIYMAI_clean_min_charges,BUDDIO_clean,,
AHAMIG_FSR,AGUTEC_FSR,16311N2_ddec,KOMHAW_clean_min_charges,BUGSAY_clean,,
AHANAZ_FSR,AGUWEG01_FSR,16312N2_ddec,KUNWEW_clean_min_charges,BUGSIG_clean,,
AHAVOV_FSR,AGUWUV_freeONLY,16330N2_ddec,LABJUV_clean_min_charges,BUKMUQ_clean,,
AHAWIQ_FSR,AGUYEG_FSR,16331N2_ddec,LACJAC_clean_min_charges,BURJOO_clean,,
AHAWUC_FSR,AHADUJ_FSR,16332N3_ddec,LADHEF_clean_min_charges,BUSGIG_clean,,
AHAXOX_FSR,AHAFAR_FSR,16340N2_ddec,LAGCED_clean_min_charges,BUSGOM_clean,,
