,,,Training,0.989271806,,Training,0.9591369,,Training,0.869605249,,Training,0.91830814,,Training,0.004580992,,Training,0.947875267,,Training,0.876908342,,Training,1,,Training,0.999854917
,,,Test,0.878899708,,Test,0.833562395,,Test,0.660608017,,Test,0.881717372,,Test,0.004691534,,Test,0.82775011,,Test,0.643120904,,Test,0.68478777,,Test,0.802440213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names
,,,0.321563,FractionCSP3,,0.706166,IP,,0.72815,IP,,0.349274,SMR_VSA7,,0.008339,fr_methoxy,,0.581173,IP,,0.039789,IP,,0.124556,fr_ester,,0.424379,HomoLumoGap
,,,0.108638,fr_halogen,,0.038804,qed,,0.058678,FractionCSP3,,0.264249,IP,,0.007981,EState_VSA2,,0.050857,qed,,0.032406,FractionCSP3,,0.022267,EState_VSA5,,0.343499,BCUT2D_LOGPLOW
,,,0.098312,IP,,0.021955,FractionCSP3,,0.049313,BCUT2D_LOGPHI,,0.052517,fr_ketone,,0.007158,PEOE_VSA1,,0.027749,FractionCSP3,,0.032383,SMR_VSA7,,0.016865,PEOE_VSA11,,0.260756,MolMR
,,,0.036194,SMR_VSA7,,0.017938,SMR_VSA7,,0.030708,qed,,0.019163,SlogP_VSA5,,0.006693,SMR_VSA6,,0.024601,Chi2v,,0.032383,SlogP_VSA6,,0.015835,fr_ketone,,0.225845,fr_halogen
,,,0.021936,ExactMolWt,,0.016881,MinAbsEStateIndex,,0.023063,FpDensityMorgan1,,0.018464,SMR_VSA6,,0.006192,Chi3n,,0.022634,MinAbsEStateIndex,,0.014306,HomoLumoGap,,1.58E-02,fr_ketone_Topliss,,0.147919,IP
,,,0.018672,HomoLumoGap,,0.014973,FpDensityMorgan2,,0.014566,Chi2v,,0.015921,MaxPartialCharge,,0.006148,MinPartialCharge,,0.021308,VSA_EState8,,0.01305,VSA_EState8,,0.014239,VSA_EState5,,0.137899,Chi1n
,,,0.017526,Chi0v,,0.013209,BCUT2D_LOGPHI,,0.013321,BCUT2D_CHGLO,,0.009943,MaxEStateIndex,,0.006115,SlogP_VSA2,,0.019581,fr_alkyl_halide,,0.012614,fr_ketone_Topliss,,0.012162,EState_VSA6,,0.130302,BCUT2D_CHGLO
,,,0.014042,FpDensityMorgan2,,0.010556,Chi2v,,0.013091,SPS,,0.009398,Kappa2,,0.006041,MinAbsPartialCharge,,0.013307,BCUT2D_LOGPHI,,0.012614,fr_ketone,,0.006776,EState_VSA4,,0.129704,Chi1v
,,,0.012191,FpDensityMorgan3,,0.009338,HomoLumoGap,,0.008172,SMR_VSA5,,0.008773,VSA_EState3,,0.005846,Chi4n,,0.013111,fr_methoxy,,0.011904,AvgIpc,,0.006113,PEOE_VSA2,,0.09966,BCUT2D_MRHI
,,,0.011978,BCUT2D_CHGHI,,0.009055,Chi0v,,0.007786,VSA_EState8,,0.008757,AvgIpc,,0.005821,Chi4v ,,0.012666,SPS.1,,0.011156,EState_VSA6,,0.005261,SlogP_VSA5,,0.094722,BertzCT
